codigo_comuna,nombre_comuna,pop_total,log_pop_total,pct_foreign,pct_unemployed,schooling_gap,dep_ratio,eno_total,eno_rate_per_10k,grd_total,grd_rate_per_10k,grd_mean_los,grd_mean_severity,grd_mortality_rate
13111,La Granja,112022,11.626450559559094,8.525111138883434,40.64281620463937,-1.2937647908223067,49.86421223026395,943,84.17989323525737,14803,1321.4368606166645,5.393568871174762,1.482875092886577,2.526514895629264
13118,Macul,123800,11.726422639232633,14.133279483037157,30.859640190088257,-1.262642545875643,44.13281641111615,890,71.89014539579968,13343,1077.7867528271406,5.520947313197931,1.5699617777111594,3.440005995653152
13131,San Ramón,76002,11.238514934711688,8.176100628930818,39.6740210693699,-1.3959563352238469,49.66916108704214,687,90.39235809583958,11743,1545.0909186600354,4.966448096738483,1.4538022651792557,2.214084986800647
13110,La Florida,374836,12.834243875961102,9.786946824744687,34.00704326319939,-1.118566918491565,46.80625237440616,2128,56.77149473369687,49846,1329.8082361352697,6.002897539774099,1.4035218054774716,2.9992376519680617
13109,La Reina,103157,11.544007378533257,19.38,32.5,-0.6500000000000004,44.8,714,69.21,5004,485.09,5.38,1.382,2.618
13122,Quilicura,236478,12.37361045933138,8.57,35.400000000000006,-0.870000000000001,43.5,1487,62.88,13062,552.36,5.9,1.393,2.167
13125,Tiltil,205624,12.233804537268064,13.36,37.9,-0.17999999999999972,38.5,1592,77.42,1435,69.79,6.31,1.348,3.345
13101,Santiago,5806,8.666647144584575,3047.8126076472613,27.341367566151433,0.6161895754582343,26.21068282540111,12186,20988.63244919049,54929,94607.302790217,6.682745162708883,1.6154854448469842,2.799978153616487
13401,San Bernardo,306371,12.632552064849632,6.38,39.19,-0.6400000000000006,45.28,2172,70.89443844228076,44506,1452.68,6.01,1.47,2.35
13403,Calera de Tango,25491,10.14608072767165,3.52,39.61,-0.06999999999999851,45.97,84,32.952806873014005,1539,603.74,7.22,1.75,2.6
13117,Lo Prado,91290,11.421796531559126,13.265417899003175,99.37409482169696,-0.9475416898551803,0.4754654771140419,591,64.73874465987512,6169,675.7585715850587,5.955584373480304,1.383803959753327,3.0637056248986867
13124,Pudahuel,227820,12.336311122453903,6.735141778597138,99.38061423509052,-0.749266597078833,0.4286430963340147,1051,46.13291194802915,10910,478.8868404881046,6.026122823098075,1.483220245736292,2.722273143904675
13119,maipu,500600,13.12356265797981,6.19,37.45,-0.33999999999999986,43.27,3316,66.24,62614,1250.78,7.02,1.64,3.49
13108,Independencia,116943,11.66944191558223,44.38743661441899,32.838556916261425,-0.08222027279605726,39.83546377452797,1642,156.38095238095238,10573,1006.952380952381,6.467889908256881,0.0,2.8563321668400645
13127,Recoleta,154615,11.948693435008439,21.995925362998413,37.40058958401572,-0.30490427638811646,45.127983705191625,1978,104.10526315789474,13435,707.1052631578947,6.3290658727205065,0.0,2.97729810197246
13505,San Pedro,11108,9.31542084842669,11.343176089305006,39.59709379128138,0.07517797913333624,56.82620358605111,731,609.1666666666666,1355,1129.1666666666667,4.900369003690037,0.0,1.5498154981549817
13604,Padre Hurtado,81243,11.305199942634374,6.518715458562584,34.83106659911928,-1.0547036062191673,45.12084025507743,337,51.84615384615385,4764,732.923076923077,6.111880772460117,0.0,1.910159529806885
13102,Cerrillos,85041,11.350888772118845,15.0,39.2,0.2859999999999996,0.463,642,75.49,7623,896.39,7.39,1.7,3.27
13105,Estación Central,155257,11.952837087346094,7.3,41.2,-1.234,0.497,1212,78.06,17446,1123.69,6.53,1.65,2.72
13302,Lampa,145160,11.885591861327006,12.8,35.3,-0.14300000000000068,0.446,672,46.29,8057,555.04,5.99,1.42,2.02
13107,Huechuraba,101808,11.530843965472574,8.28,36.08,-1.3499999999999996,44.0,832,81.72245796008173,6170,606.0,6.09,1.37,3.42
13112,La Pintana,175421,12.074944078093388,4.44,44.29,-1.4600000000000009,49.0,1507,85.90761653393837,25556,1456.8,5.37,1.47,1.953
13502,Alhué,7768,8.957768009971161,11.34,36.22,-0.7800000000000011,51.0,28,36.04531410916581,900,1158.6,5.64,1.28,2.333
13504,María Pinto,15352,9.639001037687535,2.08,38.92,-0.8600000000000012,52.0,32,20.844189682126107,1683,1096.3,4.78,1.2,1.664
13602,El Monte,37497,10.532016208758332,2.45,39.25,-1.629999999999999,50.0,146,38.93644824919327,4114,1097.2,5.95,1.62,2.552
13123,Providencia,143974,11.877388006700466,11.900065289566172,23.20997586484313,0.12742002650576723,38.77547086152719,1455,92.24,10505,665.93,5.85,1.43,2.93
13130,San Miguel,150829,11.923902023759547,26.96298457193245,26.778198928244677,-0.3011426047383523,37.18711343956924,1249,115.7,13853,1283.23,6.37,1.59,3.35
13404,Paine,78828,11.275023542680474,7.564570964631858,39.22479345636894,-0.6788430642077525,47.58757559304263,390,53.6,11428,1570.66,5.57,1.46,3.01
13605,Peñaflor,94402,11.45531753834984,3.426834177242008,40.26083708239268,-1.012384228917261,46.112770666625394,441,46.72,10357,1097.12,6.14,1.39,1.89
13114,LAS CONDES,292739,12.587036706031556,10.61320835283307,30.877375082893636,-0.1366245624444815,47.11981103628505,2123,72.5219,10656,359.84,5.92,1.43,2.93
13503,CURACAVÍ,34977,10.462445981601402,4.174171598479,39.62400906002264,-1.6029624276293397,50.32233109850438,165,47.1739,5216,1483.29,6.49,1.4,2.93
13201,Puente Alto,564477,13.243654917720535,5.27213686297227,37.60009732623212,-0.5587892915780532,43.03022063100012,4334,76.77903616976423,39492,699.6210651629739,4.784390194489466,1.51016687346484,2.248556669705257
